"","type89_sig_id","cos_v_collapsed_476","best_match_koh","cosine_v_koh","exemplar_id","cosine_89_exemplar","ID83signature","is_insdel15_16","is_polyT_removed","has_476_signature","has_83_signature","has_mapped_476_sig","has_83_mapped_signature","cosine89_diff","cosine476","cosine83","cosine83_mapped","best_match_cosmic","cosine_v_cosmic","best_match_jin","cosine_v_jin"
"1","InsDel1a",0.992730200940145,"InD1",0.982523066590154,"Biliary::DRUP01010095T",0.980247231981805,"C_ID1",FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,0.983220194069589,0.9596639524824,0.998418245724242,0.99774854502851,"ID1",0.998997225097455,"jinID1",0.998577618923023
"2","InsDel1b",0.995824348751852,"InD15",0.961293866458291,"Colon::SP21400",0.987184801324652,"C_ID1",FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,0.990630460142555,0.971169546248927,0.961390178562976,0.961495915357909,"ID1",0.998997225097455,"jinID1",0.998577618923023
"3","InsDel1c",0.961311961936925,"InD11",0.93647989440547,"Liver::SP49229",0.923032940882415,"C_ID1",FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,0.940939770577602,0.929054257037847,0.998493112684899,0.995677422820141,"ID1",0.998997225097455,"jinID1",0.998577618923023
"4","InsDel1d",0.997816677302374,NA,NA,"Bone.SoftTissue::CPCT02020428T",0.99675737544784,"C_ID1",FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,0.99675737544784,0.994594220752138,0.996068772723365,0.997650593176186,"ID1",0.998997225097455,"jinID1",0.998577618923023
"5","InsDel2a",0.980501734047094,"InD2b",0.905687533553426,"Esophagus::CPCT02010569T",0.990263031835387,"C_ID2",FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,0.993932889605561,0.967949920301316,0.896138732978604,0.981043965703739,"ID2",0.997328276273132,"jinID2",0.998910219060755
"6","InsDel2b",0.985087090067255,NA,NA,"Colon::SP96118",0.933667457882778,"C_ID2",FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,0.984835041602392,0.931852177125591,0.955583423268199,0.900903588936341,"ID2",0.997328276273132,"jinID2",0.998910219060755
"7","InsDel2c",0.983098547202523,NA,NA,"Lymphoid::CPCT02120032T",0.979438082042213,"C_ID2",FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,0.984118341284558,0.999362829413946,0.982691257853172,0.987968599730547,"ID2",0.997328276273132,"jinID2",0.998910219060755
"8","InsDel3a",0.995407107687552,"InD3a",0.913569151804241,"Lung::SP58101",0.953117492152762,"C_ID3",FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,0.94441537423093,0.893003527564203,0.905929382834035,0.911690780908226,"ID3",0.992673228911433,"jinID3",0.952591757171973
"9","InsDel3b",0.99886526497977,"InD3b",0.953522795429812,"Other::CPCT02020815T",0.992284649786581,"C_ID3",FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,0.994923939752633,0.990426082637624,0.988504231557565,0.998463405769999,"ID3",0.992673228911433,"jinID3",0.952591757171973
"10","InsDel4a",0.997924670466177,"InD4a",0.966662811632486,"CNS::CPCT02100089T",0.982162017308068,"C_ID4",FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,0.991785845592109,0.959925387899548,0.822597806527711,0.939390479834159,"ID4",0.906070052788977,NA,NA
"11","InsDel4b",0.960724415138776,NA,NA,"Breast::SP8564",0.934012903408357,"C_ID4",FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,0.93767045297453,0.863758126377169,0.518530899748579,0.415857735789534,"ID4",0.906070052788977,NA,NA
"12","InsDel5a",0.999815401910504,"InD29",0.935886957829521,"Kidney::SP39298",0.989382343252623,"C_ID5",FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,0.989382343252623,0.962893870045045,0.987663184291011,0.998326844626432,"ID5",0.926476648368846,"jinID5",0.917914289436428
"13","InsDel5b",0.998857575440015,NA,NA,"Liver::SP112290",0.978773666030853,"C_ID5",FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,0.978773666030853,0.952230728471489,0.643835940007652,0.694378854034327,"ID5",0.926476648368846,"jinID5",0.917914289436428
